id,nombre,empleo,jefe,fecha_entrada,sueldo,complemento,departamento_id,complemento_es_nulo
7369,Smith,Ordenanza,7902,2000-12-17,800.0,550.0,20,1
7499,Allen,Vendedor,7698,2001-02-20,1600.0,300.0,30,0
7521,Ward,Vendedor,7698,2001-02-22,1250.0,500.0,30,0
7566,Jones,Directivo,7839,2001-04-02,2975.0,550.0,20,1
7654,Martin,Vendedor,7698,2001-09-28,1250.0,1400.0,30,0
7698,Blake,Directivo,7839,2001-05-01,2850.0,550.0,30,1
7782,Clark,Directivo,7839,2001-06-09,2450.0,550.0,10,1
7788,Scott,Analista,7566,2002-12-09,3000.0,550.0,20,1
7839,King,Director,,2001-11-17,5000.0,550.0,10,1
7844,Turner,Vendedor,7698,2001-09-08,1500.0,0.0,30,0
